Invoice Date,Amount,Product ID,Account Name
2017-01-03,56.75,0102,Johnson Controls
2017-01-03,38.04,0102,Boston Scientific
2017-01-03,74.9,0103,Boston Scientific
2017-01-03,76.84,0102,Boston Scientific
2017-01-03,5.97,0101,Linde plc
2017-01-03,178.3,0102,Linde plc
2017-01-03,146.47,0016,Dow Inc.
2017-01-03,123.26,0013,Dow Inc.
2017-01-03,12.91,0102,Charter Communications
2017-01-03,12.93,0102,Kraft Heinz
2017-01-03,2070.31,0103,Ralph Lauren Corporation
2017-01-03,167.29,0103,Conoco Phillips
2017-01-03,719.19,0103,Blackstone
2017-01-03,37.5,0103,IBM
2017-01-03,111.0,0103,IBM
2017-01-03,36.0,0103,IBM
2017-01-03,145.5,0103,IBM
2017-01-03,185.0,0103,IBM
2017-01-03,150.0,0103,IBM
2017-01-03,412.5,0103,IBM
2017-01-04,220.26,0102,Agilent Technologies
2017-01-04,95.14,0102,Agilent Technologies
2017-01-04,768.72,0102,Fidelity National Information Services
2017-01-04,2.87,0102,Fidelity National Information Services
2017-01-04,63.39,0102,Agilent Technologies
2017-01-04,148.03,0102,Masco
2017-01-04,24.42,0102,Masco
2017-01-04,114.0,0102,Boston Scientific
2017-01-04,73.02,0102,Boston Scientific
2017-01-04,0.94,0102,Boston Scientific
2017-01-04,1.89,0102,Boston Scientific
2017-01-04,142.32,0101,Campbell Soup Company
2017-01-04,158.0,0102,Linde plc
2017-01-04,520.0,0103,IBM
2017-01-04,587.72,0101,Campbell Soup Company
2017-01-04,760.84,0103,Blackstone
2017-01-04,49.66,0102,Ralph Lauren Corporation
2017-01-04,1341.47,0103,Ralph Lauren Corporation
2017-01-04,29.22,0014,Pinnacle West
2017-01-04,42.0,0206,Pinnacle West
2017-01-04,110.0,0103,IBM
2017-01-04,340.01,0103,IBM
2017-01-04,531.6,0103,Qualcomm
2017-01-04,106.2,0203,Qualcomm
2017-01-04,136.4,0103,Qualcomm
2017-01-04,27.28,0203,Qualcomm
2017-01-04,151.4,0014,Yum! Brands
2017-01-04,344.04,0014,Yum! Brands
2017-01-05,2.2,0101,Boston Scientific
2017-01-05,5.56,0101,Boston Scientific
2017-01-05,141.96,0101,Boston Scientific
2017-01-05,7.79,0101,American Water Works
2017-01-05,367.9,0016,Dow Inc.
2017-01-05,71.05,0016,Micron Technology
2017-01-05,65.5,0101,Linde plc
2017-01-05,18.92,0101,Royal Caribbean Group
2017-01-05,807.0,0013,Willis Towers Watson
2017-01-05,561.0,0103,IBM
2017-01-05,150.0,0103,IBM
2017-01-05,118.4,0013,W. W. Grainger
2017-01-06,23.52,0102,Agilent Technologies
2017-01-06,14.06,0102,Fidelity National Information Services
2017-01-06,31.57,0102,Fidelity National Information Services
2017-01-06,45.54,0102,Boston Scientific
2017-01-06,409.71,0102,Boston Scientific
2017-01-06,87.02,0102,Fidelity National Information Services
2017-01-06,17.57,0102,Fidelity National Information Services
2017-01-06,215.88,0102,Fidelity National Information Services
2017-01-06,37.3,0102,Boston Scientific
2017-01-06,42.02,0102,Linde plc
2017-01-06,158.06,0102,Linde plc
2017-01-06,347.4,0102,Charter Communications
2017-01-06,26.07,0103,Hasbro
2017-01-06,562.38,0013,Healthpeak
2017-01-06,447.5,0103,IBM
2017-01-06,242.0,0103,IBM
2017-01-06,2380.0,0014,Broadridge Financial Solutions
2017-01-06,476.0,0302,Broadridge Financial Solutions
2017-01-09,40.22,0103,Valero Energy
2017-01-09,367.0,0103,IBM
2017-01-09,225.0,0103,IBM
2017-01-09,265.0,0103,IBM
2017-01-09,50.0,0103,IBM
2017-01-09,151.0,0011,IBM
2017-01-09,104.0,0103,IBM
2017-01-09,1375.2,0103,Ralph Lauren Corporation
2017-01-09,90.0,0011,IBM
2017-01-09,148.5,0011,IBM
2017-01-10,11.37,0102,Boston Scientific
2017-01-10,126.16,0102,Boston Scientific
2017-01-10,16.47,0102,Boston Scientific
2017-01-10,1.88,0102,Boston Scientific
2017-01-10,25.3,0102,Boston Scientific
2017-01-10,6.13,0102,Fidelity National Information Services
2017-01-10,253.36,0102,Agilent Technologies
2017-01-10,372.0,0103,IBM
2017-01-10,577.46,0102,Linde plc
2017-01-10,310.0,0102,Linde plc
2017-01-10,469.5,0103,IBM
2017-01-11,16.5,0103,IBM
2017-01-11,30.0,0103,IBM
2017-01-11,2177.1,0014,Vici Properties
2017-01-12,9.54,0103,Hasbro
2017-01-12,34.38,0103,Hasbro
2017-01-12,133.56,0103,Boston Scientific
2017-01-12,41.4,0011,IBM
2017-01-12,239.6,0011,IBM
2017-01-12,5.36,0101,Boston Scientific
2017-01-12,5.52,0101,Boston Scientific
2017-01-12,36.4,0101,Agilent Technologies
2017-01-12,195.12,0101,Robert Half
2017-01-12,100.56,0103,CH Robinson
2017-01-12,20.04,0203,CH Robinson
2017-01-12,35.64,0103,CH Robinson
2017-01-12,7.11,0203,CH Robinson
2017-01-12,9.9,0101,American Water Works
2017-01-12,668.13,0016,Dow Inc.
2017-01-12,272.5,0101,Linde plc
2017-01-12,66.84,0101,Linde plc
2017-01-12,280.41,0016,Newmont
2017-01-12,30.19,0016,LyondellBasell
2017-01-12,73.32,0101,Campbell Soup Company
2017-01-12,898.96,0103,Ralph Lauren Corporation
2017-01-12,446.94,0102,Ralph Lauren Corporation
2017-01-12,536.38,0103,IBM
2017-01-12,1694.91,0103,IBM
2017-01-12,1106.87,0103,IBM
2017-01-13,159.75,0102,Boston Scientific
2017-01-13,3.14,0102,Boston Scientific
2017-01-13,27.46,0102,Boston Scientific
2017-01-13,83.84,0102,Fidelity National Information Services
2017-01-13,10.24,0102,Fidelity National Information Services
2017-01-13,246.4,0102,Fidelity National Information Services
2017-01-13,8.6,0102,Fidelity National Information Services
2017-01-13,1243.28,0103,IBM
2017-01-13,468.15,0102,Linde plc
2017-01-13,149.39,0014,Healthpeak
2017-01-13,40.17,0013,Healthpeak
2017-01-13,300.0,0103,IBM
2017-01-13,810.78,0103,IBM
2017-01-13,859.37,0103,IBM
2017-01-16,46.0,0103,IBM
2017-01-16,103.17,0013,Dow Inc.
2017-01-16,833.0,0103,IBM
2017-01-16,202.98,0013,Healthpeak
2017-01-16,320.32,0103,Qualcomm
2017-01-16,63.7,0203,Qualcomm
2017-01-16,708.8,0103,Qualcomm
2017-01-16,141.6,0203,Qualcomm
2017-01-17,6.32,0102,Boston Scientific
2017-01-17,193.35,0102,Boston Scientific
2017-01-17,108.74,0102,Agilent Technologies
2017-01-17,36.76,0102,Fidelity National Information Services
2017-01-17,25.32,0102,Fidelity National Information Services
2017-01-17,20.21,0102,Fidelity National Information Services
2017-01-17,1.42,0102,Fidelity National Information Services
2017-01-17,32.0,0102,Fidelity National Information Services
2017-01-17,20.43,0102,Fidelity National Information Services
2017-01-17,48.75,0102,Fidelity National Information Services
2017-01-17,51.86,0102,Fidelity National Information Services
2017-01-17,50.87,0102,Fidelity National Information Services
2017-01-17,116.6,0102,Masco
2017-01-17,269.27,0102,Linde plc
2017-01-17,119.0,0102,Linde plc
2017-01-17,1386.0,0103,IBM
2017-01-17,1161.0,0103,Goldman Sachs
2017-01-18,82.35,0102,Boston Scientific
2017-01-18,239.5,0102,Fidelity National Information Services
2017-01-18,59.58,0102,Fidelity National Information Services
2017-01-18,344.0,0102,Linde plc
2017-01-18,1488.69,0103,Ralph Lauren Corporation
2017-01-18,748.8,0103,IBM
2017-01-18,663.79,0103,Ralph Lauren Corporation
2017-01-19,70.38,0102,Fidelity National Information Services
2017-01-19,66.9,0016,LyondellBasell
2017-01-19,66.9,0016,LyondellBasell
2017-01-19,59.76,0016,LyondellBasell
2017-01-19,59.76,0016,LyondellBasell
2017-01-19,322.92,0016,Visa Inc.
2017-01-19,539.37,0016,Dow Inc.
2017-01-19,775.0,0103,IBM
2017-01-19,10.5,0103,IBM
2017-01-19,137.69,0014,Yum! Brands
2017-01-19,668.14,0103,Blackstone
2017-01-19,1328.31,0103,Ralph Lauren Corporation
