Invoice Date,Amount,Product ID,Account Name
01/03/2017,56.75,--,Johnson Controls
01/03/2017,56.75,0102,Johnson Controls
01/03/2017,38.04,--,Boston Scientific
01/03/2017,38.04,0102,Boston Scientific
01/03/2017,74.9,--,Boston Scientific
01/03/2017,74.9,0103,Boston Scientific
01/03/2017,76.84,--,Boston Scientific
01/03/2017,76.84,0102,Boston Scientific
01/03/2017,5.97,--,Linde plc
01/03/2017,5.97,0101,Linde plc
01/03/2017,178.3,--,Linde plc
01/03/2017,178.3,0102,Linde plc
01/03/2017,269.73,--,Dow Inc.
01/03/2017,146.47,0016,Dow Inc.
01/03/2017,123.26,0013,Dow Inc.
01/03/2017,12.91,--,Charter Communications
01/03/2017,12.91,0102,Charter Communications
01/03/2017,12.93,--,Kraft Heinz
01/03/2017,12.93,0102,Kraft Heinz
01/03/2017,2070.31,--,Ralph Lauren Corporation
01/03/2017,2070.31,0103,Ralph Lauren Corporation
01/03/2017,167.29,--,Conoco Phillips
01/03/2017,167.29,0103,Conoco Phillips
01/03/2017,719.19,--,Blackstone
01/03/2017,719.19,0103,Blackstone
01/03/2017,37.5,--,IBM
01/03/2017,37.5,0103,IBM
01/03/2017,111.0,--,IBM
01/03/2017,111.0,0103,IBM
01/03/2017,36.0,--,IBM
01/03/2017,36.0,0103,IBM
01/03/2017,145.5,--,IBM
01/03/2017,145.5,0103,IBM
01/03/2017,185.0,--,IBM
01/03/2017,185.0,0103,IBM
01/03/2017,150.0,--,IBM
01/03/2017,150.0,0103,IBM
01/03/2017,412.5,--,IBM
01/03/2017,412.5,0103,IBM
01/04/2017,220.26,--,Agilent Technologies
01/04/2017,220.26,0102,Agilent Technologies
01/04/2017,95.14,--,Agilent Technologies
01/04/2017,95.14,0102,Agilent Technologies
01/04/2017,768.72,--,Fidelity National Information Services
01/04/2017,768.72,0102,Fidelity National Information Services
01/04/2017,2.87,--,Fidelity National Information Services
01/04/2017,2.87,0102,Fidelity National Information Services
01/04/2017,63.39,--,Agilent Technologies
01/04/2017,63.39,0102,Agilent Technologies
01/04/2017,148.03,--,Masco
01/04/2017,148.03,0102,Masco
01/04/2017,24.42,--,Masco
01/04/2017,24.42,0102,Masco
01/04/2017,114.0,--,Boston Scientific
01/04/2017,114.0,0102,Boston Scientific
01/04/2017,73.02,--,Boston Scientific
01/04/2017,73.02,0102,Boston Scientific
01/04/2017,0.94,--,Boston Scientific
01/04/2017,0.94,0102,Boston Scientific
01/04/2017,1.89,--,Boston Scientific
01/04/2017,1.89,0102,Boston Scientific
01/04/2017,142.32,--,Campbell Soup Company
01/04/2017,142.32,0101,Campbell Soup Company
01/04/2017,158.0,--,Linde plc
01/04/2017,158.0,0102,Linde plc
01/04/2017,520.0,--,IBM
01/04/2017,520.0,0103,IBM
01/04/2017,587.72,--,Campbell Soup Company
01/04/2017,587.72,0101,Campbell Soup Company
01/04/2017,760.84,--,Blackstone
01/04/2017,760.84,0103,Blackstone
01/04/2017,1391.13,--,Ralph Lauren Corporation
